Day;peppertype: (Worldwide);kafkai: (Worldwide);articleforge: (Worldwide);articoolo: (Worldwide);copysmith: (Worldwide)
2023-01-13;26;0;19;0;24
2023-01-14;0;0;0;0;19
2023-01-15;0;0;0;0;0
2023-01-16;0;23;0;0;33
2023-01-17;0;0;22;0;0
2023-01-18;17;0;0;0;0
2023-01-19;0;0;0;0;21
2023-01-20;0;0;0;0;0
2023-01-21;0;0;0;0;0
2023-01-22;39;0;0;0;0
2023-01-23;38;0;0;0;0
2023-01-24;0;39;0;0;23
2023-01-25;81;0;0;31;0
2023-01-26;38;0;0;0;0
2023-01-27;0;0;0;27;0
2023-01-28;20;0;22;0;0
2023-01-29;0;0;0;0;0
2023-01-30;0;0;0;32;0
2023-01-31;28;0;0;0;0
2023-02-01;0;0;0;0;0
2023-02-02;0;0;0;0;0
2023-02-03;0;0;0;18;0
2023-02-04;19;0;0;0;0
2023-02-05;0;0;0;0;71
2023-02-06;0;35;0;0;0
2023-02-07;0;0;0;0;0
2023-02-08;38;0;0;0;0
2023-02-09;51;90;0;0;37
2023-02-10;91;0;52;0;0
2023-02-11;0;0;0;0;0
2023-02-12;84;0;0;0;46
2023-02-13;36;29;0;0;0
2023-02-14;0;0;0;0;0
2023-02-15;25;0;0;0;0
2023-02-16;0;0;0;0;0
2023-02-17;0;0;0;0;0
2023-02-18;0;0;0;0;0
2023-02-19;0;0;0;21;0
2023-02-20;0;26;0;0;0
2023-02-21;17;0;0;0;0
2023-02-22;0;0;0;0;0
2023-02-23;0;39;0;0;0
2023-02-24;26;33;0;0;0
2023-02-25;31;22;0;0;0
2023-02-26;0;0;0;0;0
2023-02-27;0;0;0;0;0
2023-02-28;0;0;0;0;0
2023-03-01;0;33;0;0;0
2023-03-02;0;0;0;0;49
2023-03-03;25;20;0;0;62
2023-03-04;0;0;0;0;0
2023-03-05;0;0;0;0;0
2023-03-06;0;0;0;0;0
2023-03-07;0;0;0;0;0
2023-03-08;0;0;0;0;0
2023-03-09;0;0;0;0;0
2023-03-10;0;0;17;0;0
2023-03-11;0;0;0;0;0
2023-03-12;0;32;36;40;0
2023-03-13;0;0;0;22;0
2023-03-14;0;0;0;0;0
2023-03-15;0;0;0;0;0
2023-03-16;0;0;27;0;0
2023-03-17;29;60;0;21;0
2023-03-18;0;0;0;0;43
2023-03-19;0;69;0;0;0
2023-03-20;29;0;0;0;0
2023-03-21;0;0;0;0;0
2023-03-22;0;0;0;0;0
2023-03-23;0;28;0;0;55
2023-03-24;20;26;0;0;0
2023-03-25;0;0;0;0;0
2023-03-26;0;0;0;0;22
2023-03-27;0;0;0;0;0
2023-03-28;0;0;0;25;43
2023-03-29;0;0;0;0;0
2023-03-30;0;0;0;0;0
2023-03-31;0;0;100;0;0
2023-04-01;0;0;22;0;0
2023-04-02;0;0;0;0;0
2023-04-03;0;0;0;0;0
2023-04-04;0;0;33;0;0
2023-04-05;0;0;25;0;0
2023-04-06;0;0;0;0;0
2023-04-07;0;0;0;0;0
2023-04-08;0;0;0;0;0
2023-04-09;0;20;0;54;25