Week;articoolo: (Worldwide);articleforge: (Worldwide);copysmith: (Worldwide);writesonic: (Worldwide);kafkai: (Worldwide)
2022-04-17;0;1;3;16;0
2022-04-24;1;0;1;14;0
2022-05-01;1;0;2;17;0
2022-05-08;1;0;3;11;1
2022-05-15;1;0;2;19;0
2022-05-22;1;0;1;15;2
2022-05-29;0;0;2;12;0
2022-06-05;2;0;2;10;0
2022-06-12;0;1;1;12;0
2022-06-19;0;0;4;10;0
2022-06-26;0;0;3;19;0
2022-07-03;0;1;3;12;0
2022-07-10;3;0;3;16;1
2022-07-17;1;2;4;13;1
2022-07-24;0;1;3;18;0
2022-07-31;0;0;2;17;2
2022-08-07;1;0;5;23;0
2022-08-14;0;0;3;19;1
2022-08-21;0;1;4;30;1
2022-08-28;0;0;3;28;1
2022-09-04;0;3;2;26;0
2022-09-11;0;0;3;26;0
2022-09-18;0;1;1;24;0
2022-09-25;0;0;2;27;3
2022-10-02;0;0;2;30;1
2022-10-09;1;2;3;27;1
2022-10-16;0;1;5;26;0
2022-10-23;0;0;2;21;1
2022-10-30;2;0;2;26;1
2022-11-06;0;1;3;22;1
2022-11-13;1;1;5;25;1
2022-11-20;0;2;2;26;0
2022-11-27;1;0;0;30;0
2022-12-04;0;0;4;27;0
2022-12-11;0;1;3;45;0
2022-12-18;2;2;5;35;1
2022-12-25;0;0;2;40;1
2023-01-01;3;2;2;49;0
2023-01-08;2;1;4;69;1
2023-01-15;0;0;4;98;0
2023-01-22;1;2;4;94;0
2023-01-29;2;0;5;90;1
2023-02-05;1;0;3;96;0
2023-02-12;2;0;4;93;2
2023-02-19;1;1;4;94;0
2023-02-26;0;1;2;74;1
2023-03-05;1;1;2;87;0
2023-03-12;1;0;3;95;0
2023-03-19;1;0;1;100;0
2023-03-26;0;2;3;96;1
2023-04-02;1;0;4;85;1
2023-04-09;0;0;0;60;0