Day;writesonic: (Worldwide);rytr: (Worldwide)
2023-01-13;52;79
2023-01-14;39;62
2023-01-15;56;48
2023-01-16;64;82
2023-01-17;69;81
2023-01-18;85;73
2023-01-19;67;73
2023-01-20;74;75
2023-01-21;41;63
2023-01-22;58;63
2023-01-23;58;65
2023-01-24;70;70
2023-01-25;66;98
2023-01-26;51;61
2023-01-27;54;67
2023-01-28;45;47
2023-01-29;34;48
2023-01-30;60;57
2023-01-31;58;73
2023-02-01;67;77
2023-02-02;68;62
2023-02-03;61;64
2023-02-04;47;49
2023-02-05;51;57
2023-02-06;69;70
2023-02-07;75;82
2023-02-08;73;72
2023-02-09;59;73
2023-02-10;65;57
2023-02-11;54;59
2023-02-12;38;59
2023-02-13;50;79
2023-02-14;72;83
2023-02-15;72;71
2023-02-16;69;89
2023-02-17;53;58
2023-02-18;54;53
2023-02-19;65;70
2023-02-20;64;60
2023-02-21;87;78
2023-02-22;69;71
2023-02-23;58;61
2023-02-24;52;70
2023-02-25;35;57
2023-02-26;42;56
2023-02-27;68;96
2023-02-28;45;76
2023-03-01;47;56
2023-03-02;57;63
2023-03-03;34;62
2023-03-04;33;48
2023-03-05;49;37
2023-03-06;65;71
2023-03-07;64;76
2023-03-08;52;49
2023-03-09;49;57
2023-03-10;53;50
2023-03-11;60;50
2023-03-12;56;56
2023-03-13;67;56
2023-03-14;66;70
2023-03-15;75;58
2023-03-16;67;44
2023-03-17;51;56
2023-03-18;55;33
2023-03-19;50;29
2023-03-20;100;56
2023-03-21;74;56
2023-03-22;77;51
2023-03-23;64;54
2023-03-24;60;47
2023-03-25;34;43
2023-03-26;63;44
2023-03-27;66;80
2023-03-28;60;58
2023-03-29;77;52
2023-03-30;73;62
2023-03-31;60;62
2023-04-01;41;27
2023-04-02;50;40
2023-04-03;77;58
2023-04-04;61;66
2023-04-05;54;51
2023-04-06;58;62
2023-04-07;39;40
2023-04-08;34;36
2023-04-09;37;40